"Name","CISID","Category","Description","Sensitivity","Status","Details"
"DontDisplayLastUserName","2.3.7.2","Registry Test","Ensure 'DontDisplayLastUserName' is set to '1'","7","FAIL","DontDisplayLastUserName is set to 0, expected 1"
"EnableAuthEpResolution","18.9.36.1","Registry Test","Ensure 'EnableAuthEpResolution' is set to '1'","6","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Rpc"
"enableforcedlogoff","2.3.9.4","Registry Test","Ensure 'enableforcedlogoff' is set to 1","6","PASS","enableforcedlogoff value set to 1"
"EnableInstallerDetection","2.3.17.4","Registry Test","Ensure 'EnableInstallerDetection' is set 1","9","PASS","EnableInstallerDetection is set to 1"
"EnableLUA","2.3.17.6","Registry Test","Ensure 'EnableLUA' is set 1","9","PASS","EnableLUA is set to 1"
"EnableSecureUIAPaths","2.3.17.5","Registry Test","Ensure 'EnableSecureUIAPaths' is set 1","9","PASS","EnableSecureUIAPaths is set to 1"
"EnableVirtualization","2.3.17.8","Registry Test","Ensure 'EnableVirtualization' is set to '1'","9","PASS","EnableVirtualization is set to 1"
"EnumerateAdministrators","18.10.15.2","Registry Test","Ensure 'EnumerateAdministrators' is set to '0'","6","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI"
"fAllowToGetHelp","18.9.35.2","Registry Test","Ensure 'fAllowToGetHelp' is set to '0'","5","FAIL","fAllowToGetHelp does not exist"
"fAllowUnsolicited","18.9.35.1","Registry Test","Ensure 'fAllowUnsolicited' is set to '0'","5","FAIL","fAllowUnsolicited does not exist"
"FilterAdministratorToken","2.3.17.1","Registry Test","Ensure 'FilterAdministratorToken' is set to '1'","8","FAIL","FilterAdministratorToken does not exist"
"ForceGuest","2.3.10.13","Registry Test","Ensure 'ForceGuest' is set to '0'","5","PASS","ForceGuest value set to 0"
"InactivityTimeoutSecs","2.3.7.3","Registry Test","Ensure 'InactivityTimeoutSecs' is greater than 0 and less than 900","6","FAIL","InactivityTimeoutSecs does not exist"
"LegalNoticeCaption","2.3.7.5","Registry Test","Ensure 'LegalNoticeCaption' is set","2","FAIL","LegalNoticeCaption is not set"
"LegalNoticeText","2.3.7.4","Registry Test","Ensure 'LegalNoticeText' is set","2","FAIL","LegalNoticeText is not set"
"LimitBlankPasswordUse","2.3.1.2","Registry Test","Ensure 'LimitBlankPasswordUse' is set to '1'","8","PASS","LimitBlankPasswordUse value set to 1"
"LocalAccountTokenFilterPolicy","18.4.1","Registry Test","Ensure 'LocalAccountTokenFilterPolicy' is set to '0'","7","FAIL","LocalAccountTokenFilterPolicy does not exist"
"NoInplaceSharing","19.7.26.1","Registry Test","Ensure 'NoInplaceSharing' is set to '1'","5","FAIL","NoInplaceSharing does not exist"
"PasswordExpiryWarning ","2.3.7.7","Registry Test","Ensure 'PasswordExpiryWarning ' is set from 5 days to 14 days","5","PASS","PasswordExpiryWarning value set to 5"
"PromptOnSecureDesktop","2.3.17.7","Registry Test","Ensure 'PromptOnSecureDesktop' is set 1","9","PASS","PromptOnSecureDesktop is set to 1"
"RequirePinForPairing","18.10.14.1","Registry Test","Ensure 'RequirePinForPairing' is set to '1'","3","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Windows\Connect"
"RestrictDriverInstallationToAdministrators","18.7.10","Registry Test","Ensure 'RestrictDriverInstallationToAdministrators' is set to '1'","10","FAIL","Registry path does not exist: HKLM:\SOFTWARE\Policies\Microsoft\Windows NT\Printers\PointAndPrint"
"RestrictRemoteSAM","2.3.10.11","Registry Test","Ensure 'DisallowExploitProtectionOverride' is set to 'O:BAG:BAD:(A;;RC;;;BA)'","5","FAIL","RestrictRemoteSAM does not exist"
"ShutdownWithoutLogon","2.3.13.1","Registry Test","Ensure 'ShutdownWithoutLogon' is set to '0'","6","PASS","ShutdownWithoutLogon value set to 0"
"SMBServerNameHardeningLevel","2.3.9.5","Registry Test","Ensure 'SMBServerNameHardeningLevel' is set to '1' or '2'","8","FAIL","SMBServerNameHardeningLevel does not exist"
"UserAuthentication","18.10.57.3.9.4","Registry Test","Ensure 'UserAuthentication' is set to '1'","6","FAIL","UserAuthentication does not exist"
"Administrator Account Name","2.3.1.3","Account Settings","Ensure Administrator account has been renamed from its default name","8","FAIL","Administrator account is using default name and should be renamed"
"Guest Account Name","2.3.1.4","Account Settings","Ensure Guest account has been renamed from its default name","5","FAIL","Guest account is using default name and should be renamed"
"Guest Account Status","2.3.1.1","Account Settings","Ensure Guest account is disabled","8","PASS","Guest account is properly disabled"
"AllowAdministratorLockout","1.2.3","Lockout Policy","Ensure 'AllowAdministratorLockout' is set to '1'","7","FAIL","AllowAdministratorLockout not found"
"LockoutBadCount","1.2.2","Lockout Policy","Ensure 'LockoutBadCount' is from 1 to 5","7","FAIL","Account lockout threshold is set to 0 (Recommend from 1 to 5)"
"LockoutDuration","1.2.1","Lockout Policy","Ensure 'LockoutDuration' is set to 15 minutes or more","5","FAIL","LockoutDuration not found"
"ResetLockoutCount","1.2.4","Lockout Policy","Ensure 'ResetLockoutCount' is set to 15 minutes or more","5","FAIL","ResetLockoutCount not found"
